feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
dist_prev_vpoc_atr,1.1545,1.95755,1.695582503248159,NQ plus grand,False
dist_ext_color_up,148.0,249.75,1.6875,NQ plus grand,False
dist_vwap_m_sd1u_pct,1.37,2.3,1.678832116788321,NQ plus grand,False
dist_cur_vah_pct,0.15,0.25,1.6666666666666667,NQ plus grand,False
n_delta_div_sell_zones_active,10.0,6.0,1.6666666666666667,ES plus grand,False
bar_lower_wick_pct,0.0098,0.0163,1.663265306122449,NQ plus grand,False
ctx_cvd_recovery_rate,0.271648,0.44377500000000003,1.6336398574625988,NQ plus grand,False
ctx_cvd_session,3331.0,2055.0,1.6209245742092457,ES plus grand,False
atr_14m_pct,0.0353,0.0571,1.6175637393767706,NQ plus grand,False
dist_sess_high_pct,0.39,0.63,1.6153846153846154,NQ plus grand,False
dist_pvwap_sd1u_pct,0.393109,0.628744,1.5994139030141767,NQ plus grand,False
dist_prev_vpoc_pct,0.371796,0.589278,1.5849498111867797,NQ plus grand,False
bar_upper_wick_pct,0.0098,0.0154,1.5714285714285716,NQ plus grand,False
dist_vwap_d_sd2u_pct,0.3,0.47,1.5666666666666667,NQ plus grand,False
ctx_va_position_velocity,0.1219,0.0779,1.5648267008985879,ES plus grand,False
dist_single_print_atr,0.1173,0.0754,1.5557029177718835,ES plus grand,False
dist_1d_min_ticks_pct,-0.45,-0.69,1.5333333333333332,NQ plus grand,False
dist_1d_max_ticks_pct,1.12,1.71,1.5267857142857142,NQ plus grand,False
big_bid_cluster_50t,29.0,19.0,1.5263157894736843,ES plus grand,False
big_ask_cluster_50t,29.0,19.0,1.5263157894736843,ES plus grand,False
dist_vwap_d_sd3d_pct,-0.12,-0.18,1.5,NQ plus grand,False
n_color_dn_cluster_within_0_2pct,2.0,3.0,1.5,NQ plus grand,False
dist_us_high_pct,-0.119209,-0.1773675,1.487870043369209,NQ plus grand,True
dist_vwap_d_atr,0.3604,0.24225000000000002,1.487719298245614,ES plus grand,True
dist_pvwap_pct,0.356627,0.5176499999999999,1.4515165705344797,NQ plus grand,True
dist_vwap_d_sd1u_pct,0.18,0.26,1.4444444444444446,NQ plus grand,True
n_delta_div_buy_zones_active,10.0,7.0,1.4285714285714286,ES plus grand,True
dist_vwap_d_sd2d_pct,-0.07,-0.1,1.4285714285714286,NQ plus grand,True
dist_london_open_pct,0.320845,0.2289545,1.401348302828728,ES plus grand,True
range_extension_below_ib_atr,0.2363,0.1707,1.384299941417692,ES plus grand,True
dist_gex_nearest_dn_pct,-0.08,-0.11,1.375,NQ plus grand,True
dist_pdh_atr,-0.053552,0.073143,1.3658313414998506,NQ plus grand,True
ctx_rvol_session,5.35908,3.971157,1.34950091371356,ES plus grand,True
ask_bid_imbalance,0.0673,0.09079999999999999,1.3491827637444278,NQ plus grand,True
delta_bar_vol_norm,0.0673,0.09079999999999999,1.3491827637444278,NQ plus grand,True
delta_pct,0.0673,0.09079999999999999,1.3491827637444278,NQ plus grand,True
large_trader_max_size,1.7822,2.4,1.3466502076085736,NQ plus grand,True
